transaction_id,customer_id,product_id,quantity,purchase_date,price
1001,1277,16,1,2024-05-13,
1001,1277,12,1,2024-05-13,
1001,1277,22,1,2024-05-13,
1001,1277,15,1,2024-05-13,
1002,1277,2,1,2024-05-28,
1002,1277,4,1,2024-05-28,
1002,1277,6,1,2024-05-28,
1002,1277,12,5,2024-05-28,
1002,1277,14,1,2024-05-28,
1002,1277,26,1,2024-05-28,
1003,1277,1,1,2024-06-12,
1003,1277,2,2,2024-06-12,
1003,1277,3,1,2024-06-12,
1003,1277,4,1,2024-06-12,
1003,1277,24,1,2024-06-12,
1003,1277,29,2,2024-06-12,
1004,1277,2,2,2024-07-03,
1004,1277,4,2,2024-07-03,
1004,1277,5,1,2024-07-03,
1004,1277,6,1,2024-07-03,
1004,1277,13,1,2024-07-03,
1004,1277,22,1,2024-07-03,
1005,1277,9,1,2024-07-17,
1005,1277,22,1,2024-07-17,
1005,1277,23,1,2024-07-17,
1005,1277,27,1,2024-07-17,
1005,1277,29,3,2024-07-17,
1006,1277,24,1,2024-08-07,
1006,1277,18,2,2024-08-07,
1006,1277,5,2,2024-08-07,
1007,1277,1,1,2024-08-21,
1007,1277,3,1,2024-08-21,
1007,1277,6,1,2024-08-21,
1007,1277,7,1,2024-08-21,
1007,1277,27,1,2024-08-21,
1008,1277,16,1,2024-09-11,
1008,1277,15,1,2024-09-11,
1009,1277,25,2,2024-09-19,
1009,1277,4,3,2024-09-19,
1009,1277,5,1,2024-09-19,
1009,1277,23,1,2024-09-19,
1010,1277,1,3,2024-09-26,
1010,1277,18,1,2024-09-26,
1010,1277,3,1,2024-09-26,
1011,1277,1,1,2024-10-10,
1011,1277,4,1,2024-10-10,
1011,1277,5,1,2024-10-10,
1011,1277,14,1,2024-10-10,
1011,1277,19,1,2024-10-10,
1011,1277,28,1,2024-10-10,
1012,1277,2,1,2024-11-05,
1012,1277,15,1,2024-11-05,
1012,1277,16,1,2024-11-05,
1012,1277,17,5,2024-11-05,
1012,1277,21,3,2024-11-05,
1012,1277,30,3,2024-11-05,
1013,1277,24,3,2024-11-17,
1013,1277,23,1,2024-11-17,
1014,1277,17,5,2024-12-03,
1014,1277,26,1,2024-12-03,
1014,1277,22,2,2024-12-03,
1015,1277,2,3,2024-12-30,
1015,1277,6,1,2024-12-30,
1015,1277,9,2,2024-12-30,
1015,1277,12,1,2024-12-30,
1015,1277,24,2,2024-12-30,
1016,1277,25,1,2025-01-24,
1016,1277,10,1,2025-01-24,
1017,1008,12,1,2024-04-08,
1017,1008,28,3,2024-04-08,
1017,1008,14,1,2024-04-08,
1018,1008,12,1,2024-05-02,
1018,1008,30,1,2024-05-02,
1018,1008,14,1,2024-05-02,
1019,1008,2,1,2024-05-26,
1019,1008,6,5,2024-05-26,
1019,1008,12,1,2024-05-26,
1019,1008,20,2,2024-05-26,
1019,1008,26,1,2024-05-26,
1020,1008,16,1,2024-06-20,
1020,1008,29,1,2024-06-20,
1020,1008,15,2,2024-06-20,
1021,1008,2,1,2024-06-29,
1021,1008,3,1,2024-06-29,
1021,1008,29,1,2024-06-29,
1021,1008,14,1,2024-06-29,
1022,1008,1,1,2024-07-06,
1022,1008,10,4,2024-07-06,
1022,1008,12,1,2024-07-06,
1022,1008,14,1,2024-07-06,
1022,1008,19,1,2024-07-06,
1022,1008,29,5,2024-07-06,
1023,1008,4,5,2024-08-02,
1023,1008,5,1,2024-08-02,
1023,1008,7,3,2024-08-02,
1023,1008,8,2,2024-08-02,
1023,1008,28,2,2024-08-02,
1024,1008,4,1,2024-09-01,
1024,1008,5,2,2024-09-01,
1024,1008,14,1,2024-09-01,
1025,1008,1,1,2024-09-24,
1025,1008,3,1,2024-09-24,
1025,1008,5,1,2024-09-24,
1025,1008,14,1,2024-09-24,
1025,1008,18,1,2024-09-24,
1025,1008,21,1,2024-09-24,
1026,1008,2,2,2024-10-13,
1026,1008,18,1,2024-10-13,
1026,1008,4,4,2024-10-13,
1026,1008,22,2,2024-10-13,
1027,1008,10,5,2024-10-27,
1027,1008,4,3,2024-10-27,
1027,1008,5,1,2024-10-27,
1028,1008,8,1,2024-11-18,
1028,1008,19,1,2024-11-18,
1028,1008,20,1,2024-11-18,
1028,1008,6,5,2024-11-18,
1029,1008,2,3,2024-12-11,
1029,1008,3,1,2024-12-11,
1030,1008,6,1,2025-01-09,
1030,1008,9,1,2025-01-09,
1030,1008,15,1,2025-01-09,
1030,1008,17,1,2025-01-09,
1030,1008,20,1,2025-01-09,
1030,1008,29,1,2025-01-09,
1031,1008,9,3,2025-01-20,
1031,1008,10,4,2025-01-20,
1031,1008,23,2,2025-01-20,
1032,1008,1,1,2025-02-04,
1032,1008,3,1,2025-02-04,
1032,1008,6,2,2025-02-04,
1032,1008,7,3,2025-02-04,
1032,1008,11,1,2025-02-04,
1033,1008,1,1,2025-02-14,
1033,1008,3,1,2025-02-14,
1033,1008,15,1,2025-02-14,
1033,1008,16,1,2025-02-14,
1033,1008,27,1,2025-02-14,
1034,1396,25,3,2024-06-16,
1034,1396,18,3,2024-06-16,
1034,1396,19,1,2024-06-16,
1034,1396,17,1,2024-06-16,
1035,1396,6,1,2024-07-08,
1035,1396,7,1,2024-07-08,
1036,1396,5,2,2024-07-30,
1036,1396,10,1,2024-07-30,
1036,1396,13,1,2024-07-30,
1036,1396,15,1,2024-07-30,
1036,1396,19,1,2024-07-30,
1036,1396,28,3,2024-07-30,
1037,1396,5,1,2024-08-20,
